Transaction_ID,Transaction_Date,Customer_ID,Product_ID,Quantity_sold,Sales_Amount,Unit_Price,Discounts_Applied,Payment_Method,Location,Trend_ID,Campaign_ID,Seasonality,Holiday_Type,Competitor_Pricing
TRX001,01-01-2022,CUST078,2099,2,5400,3000,10,Credit Card,New York,101,CAM1020,Winter,New Year,3269
TRX002,28-11-2021,CUST025,2010,3,162,60,10,PayPal,London,98,CAM1004,Autumn,Thanksgiving,73
TRX003,10-07-2022,CUST092,2083,8,400,50,0,Cash,Tokyo,21,CAM1055,Summer,Thanksgiving,62
TRX004,14-02-2023,CUST008,2015,1,4000,5000,20,Debit Card,India,58,CAM1021,Spring,Valentine's Day,5255
TRX005,25-12-2022,CUST061,1001,4,720,200,10,Credit Card,Cape Town,,CAM1103,Winter,Christmas,430
TRX006,25-12-2021,CUST033,1002,6,675,150,25,PayPal,Paris,,CAM1104,Winter,Christmas,165
TRX007,30-06-2022,CUST084,1003,6,216,60,40,Cash,Rio de Janeiro,47,,Summer,Regular Day,75
TRX008,04-11-2021,CUST097,1004,3,1500,500,0,Debit Card,Mumbai,,CAM1116,Winter,Diwali,612
TRX009,01-01-2023,CUST011,1005,2,180,100,10,Credit Card,Toronto,,,Winter,New Year,113
TRX010,04-04-2021,CUST073,1040,5,250,50,0,PayPal,Sydney,,CAM1119,Autumn,Easter,61
TRX011,14-02-2020,CUST040,1041,1,5000,5000,0,Credit Card,London,18,CAM1120,Winter,Valentine's Day,5223
TRX012,01-01-2020,CUST088,1042,1,3800,4000,5,Cash,Mexico City,102,CAM1121,Winter,New Year,4293
TRX013,22-04-2022,CUST052,1043,1,360,400,10,Debit Card,Dubai,71,CAM1122,Spring,Eid al-Fitr,551
TRX014,31-10-2021,CUST096,1044,8,640,80,0,Credit Card,United States of America,49,CAM1123,Autumn,Haloween,90
TRX015,08-08-2022,CUST060,1045,5,900,200,10,PayPal,Rio de Janeiro,53,CAM1124,Summer,Thanksgiving,188
TRX016,21-07-2021,CUST029,1012,3,360,120,0,Credit Card,Tokyo,77,CAM1018,Summer,Olympic,130
TRX017,31-01-2022,CUST070,1013,1,8000,10000,20,Cash,China,,CAM1102,Winter,Chinese New Year,9963
TRX018,31-10-2021,CUST083,1014,2,100,50,0,Debit Card,Canada,94,CAM1075,Winter,Haloween,61
TRX019,01-01-2021,CUST012,1015,2,144,80,10,PayPal,Tokyo,,,Winter,New Year,94
TRX020,14-02-2021,CUST046,1016,1,200,200,0,Credit Card,New York,51,CAM1017,Winter,Valentine's Day,180
TRX021,22-07-2021,CUST097,2021,5,350,70,0,Cash,Tokyo,38,CAM1030,Summer,Olympic,80
TRX022,12-04-2020,CUST038,1041,3,120,40,0,Credit Card,New York,,CAM1120,Spring,Easter,52
TRX023,25-12-2020,CUST089,1041,8,532,70,5,Debit Card,Mumbai,,CAM1120,Winter,Christmas,84
TRX024,25-12-2021,CUST031,1042,9,7200,1000,20,PayPal,India,,CAM1121,Winter,Christmas,986
TRX025,15-08-2021,CUST066,1043,4,160,40,0,Credit Card,Berlin,99,CAM1122,Summer,Thanksgiving,54
TRX026,28-02-2022,CUST044,1044,1,70,70,0,Cash,Pakistan,56,CAM1123,Winter,Regular Day,84
TRX027,25-12-2020,CUST081,1045,10,900,100,10,Debit Card,Mexico City,,CAM1124,Winter,Christmas,110
TRX028,25-12-2021,CUST014,1006,2,64,40,20,Credit Card,India,,CAM1108,Winter,Christmas,51
