Campaign_ID,Campaign_Type,Duration Start,Duration_End,Promotional Message,Holiday Indicator
CAM1001,Sony Summer Spectacular,20-06-2020,25-06-2020,Experience the best of Sony's summer deals!,No
CAM1002,Apple Back to School Sale,15-08-2020,31-08-2020,Gear up for school with exclusive Apple discounts!,No
CAM1200,Apple Diwali Sale,15-10-2022,25-10-2022,Diwali Bonanza with exclusive Apple discounts!,No
CAM1003,Nike Fall Fitness Fiesta,23-07-2021,08-08-2021,Get fit for fall with Nike's fitness fiesta!,No
CAM1004,LG Home Entertainment Expo,25-11-2020,10-12-2020,Upgrade your home entertainment with LG's latest offers!,No
CAM1005,Bose Sound Showcase,01-12-2020,15-12-2020,Immerse yourself in the world of Bose sound technology!,No
CAM1006,Adidas Winter Sports Showcase,20-01-2021,25-01-2021,Experience the latest in winter sports at Adidas' showcase!,No
CAM1007,Microsoft Business Tech Expo,10-03-2021,15-03-2021,Discover the future of business technology at Microsoft's expo!,No
CAM1700,Microsoft Diwali Bonanza,08-11-2023,11-11-2023,Diwali Bonanza with exclusive Microsoft  discounts!,No
CAM1008,Canon Photography Masterclass,25-04-2021,10-05-2021,Unleash your creativity with Canon's Photography Masterclass!,No
CAM1009,Prada Luxury Fashion Showcase,20-06-2021,25-06-2021,Indulge in luxury with exclusive offers from Prada!,No
CAM1010,Honeywell Smart Home Expo,15-08-2021,31-08-2021,Transform your home with Honeywell's smart home solutions!,No
CAM1011,Samsung Galaxy Unveiling,10-09-2021,15-09-2021,Be the first to experience the new Samsung Galaxy series!,No
CAM1012,Louis Vuitton Fall Collection,25-11-2021,10-12-2021,Discover the latest fall collection from Louis Vuitton!,No
CAM1013,Nike Winter Wellness Expo,01-01-2022,15-01-2022,Elevate your wellness with Nike's exclusive winter offers!,No
CAM1014,Sony Spring Showcase,20-02-2022,25-02-2022,Experience the latest in spring trends at Sony's showcase!,No
CAM1015,Apple Tech Extravaganza,23-07-2021,08-08-2021,Explore the best of tech with Apple's exclusive extravaganza!,No
CAM1016,LG Summer Sensation,10-06-2022,25-06-2022,Don't miss out on LG's summer sensation deals!,No
CAM1017,Bose Sound Revolution,07-02-2020,14-02-2020,Experience the future of sound technology with Bose!,No
